lng,lat,count
-179.50,-89.50,6.00
-179.50,-84.50,7.00
-179.50,-59.50,25.00
-179.50,-51.50,25.00
-179.50,-48.50,25.00
-179.50,-45.50,4.00
-179.50,-19.50,5.00
-179.50,-18.50,6.00
-179.50,-17.50,6.00
-179.50,-16.50,60.00
-179.50,16.50,25.00
-179.50,24.50,25.00
-179.50,29.50,2.00
-179.50,32.50,25.00
-179.50,43.50,2.00
-179.50,48.50,3.00
-179.50,50.50,3.00
-179.50,51.50,4.00
-179.50,65.50,5.00
-179.50,66.50,29.00
-179.50,67.50,3.00
-179.50,68.50,26.00
-179.50,71.50,4.00
-179.50,72.50,25.00
-179.50,88.50,26.00
-178.50,-80.50,2.00
-178.50,-48.50,25.00
-178.50,-23.50,11.00
-178.50,-20.50,25.00
-178.50,-19.50,9.00
-178.50,-18.50,19.00
-178.50,-17.50,23.00
-178.50,-14.50,33.00
-178.50,1.50,25.00
-178.50,26.50,25.00
-178.50,51.50,2.00
-178.50,52.50,2.00
-178.50,60.50,11.00
-178.50,65.50,19.00
-178.50,66.50,5.00
-178.50,67.50,13.00
-178.50,70.50,14.00
-178.50,71.50,2.00
-178.50,78.50,25.00
-177.50,-88.50,2.00
-177.50,-45.50,2.00
-177.50,-30.50,25.00
-177.50,-29.50,31.00
-177.50,-18.50,25.00
-177.50,-17.50,2.00
-177.50,-13.50,5.00
-177.50,5.50,25.00
-177.50,28.50,22.00
-177.50,30.50,8.00
-177.50,36.50,2.00
-177.50,52.50,2.00
-176.50,-84.50,2.00
-176.50,-70.50,25.00
-176.50,-62.50,25.00
-176.50,-57.50,25.00
-176.50,-49.50,25.00
-176.50,-44.50,9.00
-176.50,-43.50,187.00
-176.50,-34.50,25.00
-176.50,-13.50,254.00
-176.50,0.50,3.00
-176.50,5.50,2.00
-176.50,11.50,25.00
-176.50,19.50,49.00
-176.50,20.50,13.00
-176.50,23.50,2.00
-176.50,26.50,25.00
-176.50,30.50,11.00
-176.50,51.50,75.00
-176.50,60.50,26.00
-176.50,67.50,2.00
-176.50,68.50,25.00
-175.50,-84.50,2.00
-175.50,-80.50,25.00
-175.50,-75.50,25.00
-175.50,-48.50,27.00
-175.50,-43.50,4.00
-175.50,-23.50,25.00
-175.50,-21.50,315.00
-175.50,-20.50,31.00
-175.50,-19.50,2.00
-175.50,-15.50,6.00
-175.50,-6.50,25.00
-175.50,-1.50,3.00
-175.50,-0.50,2.00
-175.50,28.50,2.00
-175.50,52.50,2.00
-175.50,61.50,25.00
-175.50,64.50,20.00
-175.50,65.50,12.00
-175.50,67.50,10.00
-175.50,79.50,25.00
-175.50,84.50,2.00
-174.50,-82.50,2.00
-174.50,-44.50,2.00
-174.50,-21.50,19.00
-174.50,-20.50,18.00
-174.50,-19.50,82.00
-174.50,-18.50,32.00
-174.50,-14.50,2.00
-174.50,-12.50,2.00
-174.50,-11.50,25.00
-174.50,-6.50,25.00
-174.50,-4.50,2.00
-174.50,-3.50,25.00
-174.50,-0.50,2.00
-174.50,11.50,2.00
-174.50,14.50,25.00
-174.50,30.50,27.00
-174.50,44.50,25.00
-174.50,50.50,2.00
-174.50,52.50,25.00
-174.50,64.50,8.00
-174.50,65.50,14.00
-174.50,67.50,7.00
-173.50,-84.50,2.00
-173.50,-79.50,25.00
-173.50,-68.50,25.00
-173.50,-50.50,25.00
-173.50,-46.50,25.00
-173.50,-21.50,3.00
-173.50,-18.50,58.00
-173.50,-17.50,3.00
